primaryName,knownForTitles,averageRating
Frank Paur,"Gargoyles, X-Men: Evolution, Batman: Mask of the Phantasm, Todd McFarlane's Spawn, ",7.8
Mark Pavia,"Drag, The Night Flier, ",6
Alexander Payne,"Sideways, Election, ",7
John Payson,"Just Say Julie, Joe's Apt., Liquid Television, Joe's Apartment, ",5.4
Perce Pearce,"Fantasia 2000, Bambi, Fantasia, Snow White and the Seven Dwarfs, ",7.6
Richard Pearce,"Heartland, Law & Order: Trial by Jury, Hair, ",5.7
Larry Peerce,"One Potato, Two Potato, The Incident, Two-Minute Warning, Goodbye, Columbus, ",4.8
Mark Pellington,"Arlington Road, Almost Famous, Jerry Maguire, The Mothman Prophecies, ",5.6
Roger Vadim,"No Sun in Venice, Barbarella, Love on a Pillow, The Game Is Over, ",5.9
Arthur Penn,"Bonnie and Clyde, Alice's Restaurant, Little Big Man, The Miracle Worker, ",7.55
David Webb Peoples,"Unforgiven, 12 Monkeys, Blade Runner, Soldier, ",6.5
Frank Perry,,6.15
Nickolas Perry,"Speedway Junky, Boys Life 2, Must Be the Music, The Hunting of the President, ",6.6
Fred Olen Ray,,5.1
Daniel Petrie Jr.,"The Big Easy, Beverly Hills Cop, Turner & Hooch, Toy Soldiers, ",5.533333333
Daniel Petrie,"The Assistant, Mark Twain and Me, A Raisin in the Sun, The Bay Boy, ",6.025
Donald Petrie,"Miss Congeniality, How to Lose a Guy in 10 Days, Mystic Pizza, Grumpy Old Men, ",5.55
Michael Pfleghar,"Klimbim, Serenade fÃ¼r zwei Spione, Die Tote von Beverly Hills, How to Seduce a Playboy, ",5.5
William Phelps,"Bob Marley: The Legend Live, Kush, North Shore, ",6.5
Charles B. Pierce,"The Norseman, The Town That Dreaded Sundown, Boggy Creek II: And the Legend Continues, Sudden Impact, ",5.2
Frank Pierson,"Hunter, Scarface, Body Double, Hollywood Wives, ",6.2
Juan Piquer SimÃ³n,"The Rift, Slugs, Supersonic Man, Mystery on Monster Island, ",6.133333333
Glen Pitre,"The Scoundrel's Wife, Hurricane on the Bayou, Willie Francis Must Die Again, Belizaire the Cajun, ",6.6
Bruce Pittman,"World According to Nicholas, Where the Spirit Lives, Confidential, ",5.7
Bill Plympton,"Guard Dog, I Married a Strange Person!, Idiots and Angels, ",7
S. Lee Pogostin,"Bob Hope Presents the Chrysler Theatre, Hard Contract, Campbell Summer Soundstage, Pressure Point, ",5.9
Jeff Pollack,"Fear of a Black Hat, ",5.2
Gillo Pontecorvo,"KapÃ², Ogro, The Battle of Algiers, Burn!, ",8.1
LÃ©a Pool,"La femme de l'hÃ´tel, Lost and Delirious, Set Me Free, ",6.8
Jim Wynorski,"Not of This Earth, The Lost Empire, Final Voyage, ",4.6
Tim Pope,"Maximum Overdrive, Cyborg, Raw Deal, ",4.7
William Porter,"Stealing Home, Back to School, Catherine, the Naked Queen, ",6.7
Ted Post,"Beneath the Planet of the Apes, Waterfront, Magnum Force, Hang 'Em High, ",6.4
Otto Preminger,"Anatomy of a Murder, Stalag 17, Carmen Jones, Laura, ",7.35
Michael Pressman,"Teenage Mutant Ninja Turtles II: The Secret of the Ooze, Frankie and Johnny Are Married, Lake Placid, Picket Fences, ",5.75
Barry Primus,"On Golden Pond, 15 Minutes, ",5.4
Carlos Puerto,"La capilla ardiente, El francotirador, La vida, el amor y la muerte, En mil pedazos, ",6
Joe Pytka,"Let It Ride, Space Jam, ",6.4
Fons Rademakers,"Makkers, staakt uw wild geraas, The Dark Room of Damocles, Max Havelaar, The Assault, ",7.2
Robert Radler,"Best of the Best, L.A. Heat, Showdown, ",5.95
Eric Radomski,"Todd McFarlane's Spawn, Batman: Mask of the Phantasm, Batman: The Animated Series, ",7.8
Bob Rafelson,"Stay Hungry, The Monkees, Five Easy Pieces, Leaving Las Vegas, ",5.725
Stewart Raffill,"High Risk, Passenger 57, The Ice Pirates, ",4.125
Jean-Paul Rappeneau,"A Matter of Resistance, Bon voyage, The Horseman on the Roof, Cyrano de Bergerac, ",7.1
Steve Rash,"Son in Law, Eddie, Can't Buy Me Love, Good Advice, ",6.3
Brett Ratner,"Red Dragon, Rush Hour, ",7
Nicholas Ray,"Hair, Rebel Without a Cause, The American Friend, The Savage Innocents, ",6.85
Eric Red,"100 Feet, Cohen and Tate, Body Parts, Bad Moon, ",5.8
Bill Reed,"Willow, Krull, Indiana Jones and the Temple of Doom, ",7.2
Carol Reed,"Trapeze, Oliver!, The Third Man, The Fallen Idol, ",7.4
Luther Reed,"Rio Rita, Dixiana, The Sweetheart of Sigma Chi, Hit the Deck, ",6.1
Jerry Rees,"The Brave Little Toaster, Back to Neverland, TRON, Space Jam, ",5.8
Godfrey Reggio,"Koyaanisqatsi, Naqoyqatsi, Anima Mundi, ",7.7
Al Reinert,"For All Mankind, Apollo 13, Final Fantasy: The Spirits Within, ",8.2
Harald Reinl,"Night to Mont-Blanc, Face of the Frog, Chariots of the Gods, Bergkristall, ",6.4
Irving Reis,"I'm Still Alive, The Four Poster, The Gay Falcon, King of Chinatown, ",6.4
Wolfgang Reitherman,"Robin Hood, The Sword in the Stone, The Jungle Book, The Aristocats, ",7.2
Ivan Reitman,"Heavy Metal, Ghostbusters, Six Days Seven Nights, ",6.627777778
Norman RenÃ©,"Prelude to a Kiss, American Playhouse, Reckless, Longtime Companion, ",5.6
Adam Resnick,"The Larry Sanders Show, Cabin Boy, Death to Smoochy, Late Night with David Letterman, ",5.4
Robert Resnikoff,"Collision Course, The First Power, The Jogger, Cherry Hill High, ",5.7
Kevin Reynolds,"Waterworld, Robin Hood: Prince of Thieves, The Count of Monte Cristo, ",6.58
Dan Riba,"Batman: Mask of the Phantasm, The New Batman Adventures, Superman: The Animated Series, Batman Beyond, ",7.8
David Lowell Rich,"The Defection of Simas Kudirka, The Concorde... Airport '79, That Man Bolt, Northeast of Seoul, ",4.5
John Rich,"The Dick Van Dyke Show, The Twilight Zone, On the Rocks, All in the Family, ",6
Matty Rich,"The Inkwell, Straight Out of Brooklyn, Caller 100, 187 Ride or Die, ",6.5
Richard Rich,"The Swan Princess, The Fox and the Hound, The Black Cauldron, ",6.7
Dick Richards,"Her Kind of Man, ",7.1
Tony Richardson,,6.5
William Richert,"The American Success Company, My Own Private Idaho, A Night in the Life of Jimmy Reardon, Winter Kills, ",5.6
Thomas Rickman,"Tuesdays with Morrie, The River Rat, Everybody's All-American, Coal Miner's Daughter, ",6.3
Adam Rifkin,"Detroit Rock City, Small Soldiers, Look, ",5.9
Martin Ritt,"The Spy Who Came In from the Cold, Norma Rae, Hud, Cross Creek, ",6.777777778
R.D. Robb,"One Point O, A Christmas Story, Matilda, The Brady Bunch Movie, ",5.8
Jerome Robbins,"On the Town, Producers' Showcase, West Side Story, Fiddler on the Roof, ",7.5
Matthew Robbins,"Dragonslayer, Mimic, *batteries not included, ",6.271428571
Bill Roberts,,7.266666667
Stephen Roberts,"Narc, La Femme Nikita, Blindness, ",6.7
John S. Robertson,"The Girl of Today, The Road to Romance, The Fighting Blade, Dr. Jekyll and Mr. Hyde, ",5.4
Bruce Robinson,"Shanghai Noon, Dead Bang, Unforgiven, Cool Runnings, ",6.3
Mark Robson,"Avatar, Vertical Limit, Underworld: Rise of the Lycans, ",5.95
Marc Rocco,"Scenes from the Goldmine, Where the Day Takes You, The Jacket, Dream a Little Dream, ",7.3
Alexandre Rockwell,"In the Soup, Four Rooms, ",6.9
Franc Roddam,"Auf Wiedersehen, Pet, Moby Dick, Quadrophenia, Aria, ",6.6
Phil Roman,"Garfield's Babes and Bullets, The Simpsons, Garfield in the Rough, Garfield in Disguise, ",7.3
Darrell Roodt,"Yesterday, Dangerous Ground, ",4.82
Don Roos,"Happy Endings, The Opposite of Sex, ",6.4
Bernard Rose,"Paperhouse, Candyman, Ivansxtc, ",6.5
Martin Rosen,"The Merry Wives of Windsor, Beate, Karriere in Paris, Michael Kramer, ",7.6
Stuart Rosenberg,"The Optimists, ",7.175
Mark Rosenthal,"The Mike O'Malley Show, Joe's Apartment, Joe's Apt., Uncle Buck, ",6.4
Rick Rosenthal,"Nearing Grace, Mean Creek, ",6.46
Mark Rosman,"The Perfect Man, The Invader, The House on Sorority Row, ",6
Robert Rossen,"The Hustler, Alexander the Great, All the King's Men, Lilith, ",8
Arthur Rosson,"Trailing Trouble, The Ten Commandments, Red River, Boots of Destiny, ",7.8
Richard Rosson,"Behind the Headlines, Dead Man's Curve, Always the Woman, Scarface, ",7.8
Phillip J. Roth,"Velocity Trap, A.P.E.X., Total Reality, ",4.5
Joseph Ruben,"The Stepfather, The Forgotten, Dreamscape, Sleeping with the Enemy, ",5.766666667
Bruce Joel Rubin,"The Time Traveler's Wife, Deep Impact, Ghost, Jacob's Ladder, ",6.8
Alan Rudolph,"Afterglow, Trouble in Mind, The Moderns, Choose Me, ",6.1
Wesley Ruggles,"Invitation to Happiness, London Town, Cimarron, Street Girl, ",6.9
Richard Rush,"Freebie and the Bean, Color of Night, The Stunt Man, Air America, ",5.75
Chuck Russell,"The Mask, A Nightmare on Elm Street 3: Dream Warriors, The Blob, Eraser, ",6.525
David O. Russell,"Three Kings, ",6.966666667
Aaron Russo,"Missing Pieces, Off and Running, Trading Places, Bette Midler: Ol' Red Hair Is Back, ",4.6
Mark Rydell,"James Dean, The Cowboys, On Golden Pond, The Long Goodbye, ",6.45
Paul Sabella,"RoboCop: Alpha Commando, Heavy Metal, The Smurfs, ",5.5
William Sachs,"Galaxina, There Is No 13, Spooky House, The Incredible Melting Man, ",3.7
Gene Saks,"Deconstructing Harry, The Odd Couple, Nobody's Fool, I.Q., ",7.7
David Salle,"Search and Destroy, ",5.5
Edward Sampson,"Duffy of San Quentin, The Fast and the Furious, Monster from the Ocean Floor, Zorro, ",5.3
Mark Sandrich,"Top Hat, Holiday Inn, Melody Cruise, Shall We Dance, ",7.8
Kelley Sane,"Rendition, HBO First Look, Franchesca Page, ",7.2
David Saperstein,"Beyond the Stars, Cocoon, Cocoon: The Return, A Killing Affair, ",5.7
Deran Sarafian,"House, Interzone, Alien Predator, ",5.6
Richard C. Sarafian,"Bound, The Next Man, Blue Streak, Andy, ",7.2
Joseph Sargent,"Colossus: The Forbin Project, Nightmares, Star Trek, Jaws: The Revenge, ",4.218181818
Michael Sarne,"Eastern Promises, Intimidade, ",4.4
Peter Sasdy,"Journey to the Unknown, The Lonely Lady, 1990, Welcome to Blood City, ",2.9
Oley Sassone,"Wild Hearts Can't Be Broken, The Fantastic Four, Xena: Warrior Princess, ",5.2
Paul Satterfield,"Bruce Almighty, Creepshow 2, Hunter, The Pretender, ",7.3
Carlos Saura,"The Hunt, CrÃ­a Cuervos, Peppermint FrappÃ©, Carmen, ",6.1
Claude Sautet,"Un Coeur en Hiver, A Simple Story, Nelly & Monsieur Arnaud, The Things of Life, ",7.7
Victor Saville,"Faithful Hearts, The Arcadians, A Woman in the Night, The W Plan, ",4.7
Tom Savini,"Dawn of the Dead, Machete, From Dusk Till Dawn, ",6.9
James Sbardellati,"The Island of Dr. Moreau, Frailty, Running Scared, Reindeer Games, ",4.6
Franklin J. Schaffner,"Planet of the Apes, Ford Star Jubilee, Patton, Papillon, ",8
Carl Schenkel,"Strike Back, AbwÃ¤rts, The Hitchhiker, Knight Moves, ",6
Fred Schepisi,"Empire Falls, Six Degrees of Separation, Roxanne, ",6.55
Thomas Schlamme,"The West Wing, So I Married an Axe Murderer, Tracey Takes On..., Sports Night, ",6.4
John Schlesinger,"Darling, Yanks, Marathon Man, Midnight Cowboy, ",6.58
Julian Schnabel,"Basquiat, The Diving Bell and the Butterfly, Before Night Falls, ",6.9
Ernest B. Schoedsack,"The Most Dangerous Game, Rango, The Four Feathers, Dr. Cyclops, ",7.9
Barbet Schroeder,"Barfly, Murder by Numbers, Our Lady of the Assassins, Single White Female, ",6.933333333
Michael Schultz,"Pups, ",5.942857143
Ettore Scola,"A Special Day, Le Bal, The Family, Passion of Love, ",8.1
George Scribner,"The Lion King, Heavy Metal, Oliver & Company, The Black Cauldron, ",6.7
George Seaton,"Apartment for Peggy, Airport, The Country Girl, Miracle on 34th Street, ",6.6
Peter Segal,"Get Smart, Naked Gun 33 1/3: The Final Insult, Tommy Boy, ",6.9
Susan Seidelman,"She-Devil, Desperately Seeking Susan, Smithereens, Sex and the City, ",6
Henry Selick,"James and the Giant Peach, Slow Bob in the Lower Dimensions, The Nightmare Before Christmas, Coraline, ",8
David Seltzer,"Requiem for a Dream, ",6.066666667
Dominic Sena,"Whiteout, Rhythm Nation 1814, Swordfish, Kalifornia, ",6.7
Coline Serreau,"Three Men and a Cradle, Chaos, La crise, Why Not!, ",6.5
Dirk Shafer,"Man of the Year, Circuit, Will & Grace, Inside Out II, ",5.8
John Patrick Shanley,"Joe Versus the Volcano, Doubt, Congo, Moonstruck, ",5.8
Alan Shapiro,"Altered States, The Blue Yonder, The Christmas Star, The Crush, ",5.5
Jim Sharman,"Shirley Thompson Versus the Aliens, The Rocky Horror Picture Show, Summer of Secrets, The Night, the Prowler, ",7.4
Ben Sharpsteen,"Pinocchio, Snow White and the Seven Dwarfs, Ama Girls, Dumbo, ",7.4
Penelope Spheeris,"The Little Rascals, The Decline of Western Civilization Part III, The Beverly Hillbillies, Suburbia, ",6.54
Gary Sherman,"Lisa, Missing Persons, Wanted: Dead or Alive, Poltergeist III, ",5.65
Lowell Sherman,"Bachelor Apartment, False Faces, A Lady of Chance, The Royal Bed, ",6.4
Nelson Shin,"The Simpsons Movie, The Transformers: The Movie, Empress Chung, ",7.3
Jack Sholder,"The Hidden, Arachnid, 12:01, Renegades, ",5.8
Charles Shyer,"Private Benjamin, Alfie, The Parent Trap, Father of the Bride, ",5.875
George Sidney,"Show Boat, Pepe, Ziegfeld Follies, Scaramouche, ",6.9
David Siegel,"Great Performances, ",6.6
Don Siegel,"Invasion of the Body Snatchers, Dirty Harry, Invasion of the Body Snatchers, Escape from Alcatraz, ",6.544444444
James Signorelli,"Saturday Night Live, The Concert in Central Park, Phantom of the Paradise, Elvira: Mistress of the Dark, ",5.975
Brad Silberling,"City of Angels, Moonlight Mile, Lemony Snicket's A Series of Unfortunate Events, Casper, ",6.4
Lawrence Silk,"American Dream, The Twentieth Century, The Equalizer, One Survivor Remembers, ",7.9
Joan Micklin Silver,"Finnegan Begin Again, Chilly Scenes of Winter, Hester Street, Between the Lines, ",6.45
Marisa Silver,"Vital Signs, He Said, She Said, Old Enough, Permanent Record, ",6.4
Scott Silver,"Enemies of Laughter, ",4.3
Adam Simon,"The Haunting in Connecticut, The Typewriter, the Rifle & the Movie Camera, Lock Up, ",3.6
Ralph S. Singleton,"Another 48 Hrs., Cagney & Lacey, Last Man Standing, Murder at 1600, ",4.9
Gary Sinyor,"The Bachelor, Stiff Upper Lips, Leon the Pig Farmer, ",5
Andrew Sipes,"The Equalizer, Fair Game, Spenser: For Hire, Simon & Simon, ",4.3
Douglas Sirk,"To New Shores, The Final Chord, Imitation of Life, A Time to Love and a Time to Die, ",7.6
Edward Sloman,"The Mantle of Charity, Alias the Deacon, We Americans, Pilgrims of the Night, ",7.3
Jack Smight,"Alcoa Theatre, Midway, The Illustrated Man, The Twilight Zone, ",5.966666667
Mel Smith,"Not the Nine O'Clock News, National Lampoon's European Vacation, The Princess Bride, Brain Donors, ",6.5
Iain Softley,"Hackers, K-PAX, The Skeleton Key, Backbeat, ",6.2
Andrew Solt,"My Kingdom for a Cook, In a Lonely Place, Without Reservations, Whirlpool, ",6.9
Stephen Sommers,"Deep Rising, The Mummy, ",6.4
Peter Speek,"Snowriders II, Fifty, Black Diamond Rush, Snowriders, ",7.7
Bryan Spicer,"Elektra, The Lone Gunmen, 24, The X Files, ",5.2
Malcolm St. Clair,"Fighting Blood, Beau Broadway, Side Street, Born Reckless, ",6.1
Richard Stanley,"Who Wants to Be a Millionaire, ",4.5
Michael Steinberg,"Cast, ",5.7
Danny Steinmann,"Savage Streets, The Unseen, Friday the 13th: A New Beginning, High Rise, ",4.8
Daniel Stern,"Home Alone, The Wonder Years, City Slickers, Home Alone 2: Lost in New York, ",6
Steven Hilliard Stern,"B.S. I Love You, Love & Murder, Running, Neither by Day Nor by Night, ",6.6
George Stevens,"Next!, Good Grief, ",7.3625
Art Stevens,"The Black Cauldron, Peter Pan, The Rescuers, The Fox and the Hound, ",7.033333333
Douglas Day Stewart,"Listen to Me, The Blue Lagoon, An Officer and a Gentleman, The Scarlet Letter, ",5.425
Andrew L. Stone,"Julie, Confidence Girl, Cry Terror!, The Last Voyage, ",3.8
Howard Storm,"Take the Money and Run, Bananas, Everything You Always Wanted to Know About Sex * But Were Afraid to Ask, Valentine's Day, ",5.5
Wesley Strick,"Wolf, Cape Fear, Return to Paradise, ",5
Jeb Stuart,"Die Hard, The Fugitive, Lock Up, Another 48 Hrs., ",6.4
Mel Stuart,"The Making of the President 1960, Willy Wonka & the Chocolate Factory, Four Days in November, Running on the Sun: The Badwater 135, ",7.8
John Sturges,"The Magnificent Seven, Bad Day at Black Rock, Gunfight at the O.K. Corral, The Great Escape, ",7.357142857
Charles Sturridge,,6.4
Kevin Rodney Sullivan,"The Adventures of Buckaroo Banzai Across the 8th Dimension, NCIS, Guess Who, ",5.7
Stephen Surjik,,6.2
Hal Sutherland,"The Superman/Aquaman Hour of Adventure, Flash Gordon, The New Adventures of Superman, He-Man and the Masters of the Universe, ",6.8
Jan SverÃ¡k,"Empties, Kolya, Accumulator 1, Dark Blue World, ",7.8
Jeannot Szwarc,"Ironside, Somewhere in Time, Jaws 2, It Takes a Thief, ",5.466666667
Sylvio Tabet,"Dead Ringers, The Beastmaster, The Cotton Club, Beastmaster 2: Through the Portal of Time, ",4
Tibor TakÃ¡cs,"I, Madman, Sabrina the Teenage Witch, The Gate, ",6
Richard Talmadge,"Now or Never, Casino Royale, Dancing Dynamite, Jeep-Herders, ",5.2
Lee Tamahori,"xXx: State of the Union, Once Were Warriors, The Edge, Next, ",6.9
William Tannen,"Flashpoint, Deadly Illusion, The Cutter, Cover-Up, ",4.8
Frank Tashlin,"Artists and Models, Say One for Me, The Girl Can't Help It, Will Success Spoil Rock Hunter?, ",6
Nadia Tass,"The Big Steal, Malcolm, Amy, ",5.8
Tom Tataranowicz,"Iron Man, He-Man and the Masters of the Universe, Fantastic Four: The Animated Series, Biker Mice from Mars, ",6.6
Norman Taurog,"The Adventures of Tom Sawyer, Boys Town, Skippy, Room for One More, ",6.2
Don Taylor,"October Sky, ",6.38
Sam Taylor,,7.4
Julie Taymor,"Across the Universe, Titus, Frida, ",7.4
Lewis Teague,"The Jewel of the Nile, Cat's Eye, Cujo, Navy Seals, ",5.933333333
Andy Tennant,"Fool's Gold, Sweet Home Alabama, Hitch, Ever After: A Cinderella Story, ",6.75
Kevin Tenney,"Night of the Demons, Tick Tock, Peacemaker, Witchboard, ",5.6
Betty Thomas,"John Tucker Must Die, Howard Stern, 28 Days, Troop Beverly Hills, ",5.9
Ernest Thompson,"On Golden Pond, 1969, Sierra, Westside Medical, ",5.8
Richard Thorpe,"Good Guys Wear Black, ER, Tucker's Witch, The Adventures of Brisco County, Jr., ",7.55
Bruce Timm,"Batman: The Animated Series, Superman: The Animated Series, Batman: Mask of the Phantasm, Batman Beyond, ",7.8
Stacy Title,"Let the Devil Wear Black, The Last Supper, Down on the Waterfront, ",6.8
James Toback,"When Will I Be Loved, Bugsy, ",5.3
Michael Tolkin,"Changing Lanes, Deep Impact, The Player, ",6.2
Stanley Tong,"The Myth, Rumble in the Bronx, China Strike Force, Police Story 4: First Strike, ",6.7
Giuseppe Tornatore,"The Legend of 1900, Cinema Paradiso, Malena, ",8.5
Guillermo del Toro,"Pan's Labyrinth, Hellboy, ",5.9
Jacques Tourneur,"Cat People, I Walked with a Zombie, Anne of the Indies, Out of the Past, ",7.3
Robert Townsend,"Midnight Edition, ",6.925
Jean-Claude Tramont,"Ash Wednesday, As Summers Die, Focal Point, All Night Long, ",5.6
Gary Trousdale,"Beauty and the Beast, Atlantis: The Lost Empire, The Lion King, The Hunchback of Notre Dame, ",7.725
Fernando Trueba,"Twisted Obsession, Belle Epoque, ",6.2
Douglas Trumbull,"Star Trek: The Motion Picture, Close Encounters of the Third Kind, Brainstorm, Blade Runner, ",6.5
Phil Tucker,"Broadway Jungle, Robot Monster, King Kong, Dance Hall Racket, ",3
Richard Tuggle,"Tales from the Crypt, Tightrope, Escape from Alcatraz, Out of Bounds, ",5.85
David Twohy,"G.I. Jane, The Fugitive, Pitch Black, ",6.3
Edgar G. Ulmer,"The Black Cat, The Light Ahead, Isle of Forgotten Sins, The Naked Dawn, ",4.2
Ron Underwood,"City Slickers, Tremors, Heart and Souls, Mighty Joe Young, ",7
Lee Unkrich,"Toy Story 3, Finding Nemo, Toy Story 2, ",7.9
Imanol Uribe,"Carol's Journey, Numbered Days, La luna negra, ",6.6
Luis Valdez,"CBS Summer Playhouse, Zoot Suit, The Cisco Kid, La Bamba, ",6.9
W.S. Van Dyke,"The Thin Man, The Avenging Arrow, Marie Antoinette, Wyoming, ",7.6
Buddy Van Horn,"The Dead Pool, High Plains Drifter, In the Line of Fire, Outbreak, ",6.1
Sterling Van Wagenen,"The Trip to Bountiful, The Haunted Desert: Archaelogy and the Dead Sea Scrolls, Alan & Naomi, ",6.7
Norman Thaddeus Vane,"Midnight, Conscience Bay, Club Life, Taxi Dancers, ",4.8
Ram Gopal Varma,"Satya, Shiva, Kshana Kshanam, Rangeela, ",7.5
Francis Veber,"Ruby & Quentin, The Fugitives, Le DÃ®ner de Cons, The Birdcage, ",6.175
Gore Verbinski,"Pirates of the Caribbean: The Curse of the Black Pearl, Pirates of the Caribbean: At World's End, ",6.4
Stephen Verona,"Talking Walls, The Lords of Flatbush, Pipe Dreams, Boardwalk, ",5.8
Charles Vidor,"Hans Christian Andersen, Love Me or Leave Me, Gilda, A Song to Remember, ",5.9
King Vidor,"War and Peace, Hallelujah, Show People, The Big Parade, ",7.042857143
Daniel Vigne,"Fatou la Malienne, The Return of Martin Guerre, The Hitchhiker, One Woman or Two, ",5.1
Will Vinton,"Closed Mondays, Moonwalker, Claymation Easter, Martin the Cobbler, ",7.4
Daisy von Scherler Mayer,"Madeline, Party Girl, ",5.3
Lilly Wachowski,"Bound, The Matrix, The Matrix Reloaded, ",7.3
Lana Wachowski,"The Matrix, The Matrix Reloaded, Bound, ",7.3
Jonathan Wacks,"Powwow Highway, Ed and His Dead Mother, Repo Man, Crossroads/South Africa, ",6.1
Michael Wadleigh,"Wolfen, Who's That Knocking at My Door, Woodstock, ",7.725
Chris Walas,"Enemy Mine, The Fly, Gremlins, Raiders of the Lost Ark, ",5
Dorian Walker,"Making the Grade, An Outpost of Progress, Teen Witch, The Greatest Adventure of My Life, ",6.1
Tommy Lee Wallace,"The Fog, Assault on Precinct 13, Fright Night Part 2, Halloween III: Season of the Witch, ",5.4
Raoul Walsh,"Sadie Thompson, The Thief of Bagdad, The Yellow Ticket, The Birth of a Nation, ",5.9
Charles Walters,"The Unsinkable Molly Brown, Ask Any Girl, Lili, Two Loves, ",6.5
Harvey Wang,"The Last New Yorker, Milton Rogovin: The Forgotten Ones, ",6.7
Wayne Wang,"Smoke, A Thousand Years of Good Prayers, Chan Is Missing, Maid in Manhattan, ",6.775
David S. Ward,"Major League, Sleepless in Seattle, The Sting, Major League II, ",6.433333333
Vincent Ward,"Map of the Human Heart, A State of Siege, AlienÂ³, The Navigator: A Medieval Odyssey, ",7
Mark Waters,"Ghosts of Girlfriends Past, The House of Yes, ",6.6
Robert D. Webb,"The Cape Town Affair, The Glory Brigade, In Old Chicago, Beneath the 12-Mile Reef, ",6.2
Billy Weber,"The Thin Red Line, Top Gun, Murder at 1600, The Tree of Life, ",5.7
Paul Weiland,"Blackadder Back & Forth, Leonard Part 6, Keep Off the Grass, Made of Honor, ",2.2
Gary Weis,"Manhattan, Steve Martin: A Wild and Crazy Guy, 80 Blocks from Tiffany's, Saturday Night Live, ",4.6
Sam Weisman,"George of the Jungle, Being There, Brooklyn Bridge, D2: The Mighty Ducks, ",6.1
David Wellington,"Other People's Money, ",6.7
Simon Wells,"Phar Lap, ",6.566666667
Richard Wenk,"The Mechanic, The Equalizer, ",5.9
Simon West,"The General's Daughter, The Mechanic, Lara Croft: Tomb Raider, ",6.9
Gwen Wetzler,"Mighty Mouse in the Great Space Chase, Spicy City, The Transformers, He-Man and She-Ra: The Secret of the Sword, ",7.2
John Whitesell,"Every Dog Has Its Day, Loving Annabelle, ",5.1
Bernhard Wicki,"The Miracle of Father Malachia, The Bridge, The Longest Day, Warum sind sie gegen uns?, ",7.8
Gregory Widen,"Highlander, Backdraft, The Prophecy, Highlander II: The Quickening, ",6.5
Ken Wiederhorn,"Return of the Living Dead II, A House in the Hills, Shock Waves, Dark Tower, ",5.8
Fred M. Wilcox,"Lassie Come Home, Forbidden Planet, I Passed for White, Code Two, ",7.6
Ethan Wiley,"Children of the Corn V: Fields of Terror, House II: The Second Story, ",5.4
Richard Williams,"Play Your Own Thing: A Story of Jazz in Europe, The Wiz, ",7.1
Andy Wilson,,5.6
Hugh Wilson,"Big Eden, ",6.55
Richard Wilson,"Introducing the Dwights, The Proposition, 48 Shades, ",5.5
Simon Wincer,"Lonesome Dove, The Phantom, Crossfire Trail, Harlequin, ",6
Harry Winer,"The Legend of Bigfoot, SpaceCamp, Alias, ",5.7
Michael Winner,"Death Wish, Hannibal Brooks, Firepower, The Sentinel, ",6.37
Stan Winston,"Aliens, Jurassic Park, The Terminator, Terminator 2: Judgment Day, ",6.2
Kirk Wise,"Atlantis: The Lost Empire, The Hunchback of Notre Dame, Beauty and the Beast, Spirited Away, ",7.725
Robert Wise,"The Sound of Music, The Andromeda Strain, West Side Story, Star Trek: The Motion Picture, ",6.946666667
Andy Wolk,"From the Earth to the Moon, Criminal Justice, Great Performances, Deliberate Intent, ",5.2
Kar-Wai Wong,"2046, In the Mood for Love, Chungking Express, ",7.85
Kirk Wong,"Crime Story, Gunmen, Health Warning, The Big Hit, ",6.45
Sam Wood,"A Night at the Opera, Goodbye, Mr. Chips, Kings Row, Ivy, ",8.1
Abbe Wool,"Alpha Dog, Sid and Nancy, Repo Man, Planet of the Apes, ",6.5
Thomas J. Wright,"Beverly Hills Cop, The Andromeda Strain, Howard the Duck, Alias, ",4.4
Tian-Ming Wu,"The King of Masks, The Old Well, River Without Buoys, ",7.7
William Wyler,"The Big Country, Ben-Hur, The Best Years of Our Lives, Roman Holiday, ",7.988888889
Kevin Yagher,"Sleepy Hollow, Bill & Ted's Bogus Journey, Lemony Snicket's A Series of Unfortunate Events, Face/Off, ",5.2
Boaz Yakin,"Fresh, Remember the Titans, ",6.5
Peter Yates,"Breaking Away, Krull, The Dresser, Bullitt, ",7.2
Wing-Cho Yip,"Ze wang, The Killer, The Blade Spares None, ",6.8
James Young,"Behind the Rising Sun, My Son John, Behind Your Back, The Thing from Another World, ",5.9
Robert M. Young,"Children of Fate: Life and Death in a Sicilian Family, Caught, Dominick and Eugene, Alambrista!, ",6.7
Terence Young,"Thunderball, Dr. No, Wait Until Dark, From Russia with Love, ",6.4
James Yukich,"The Return of Bruno, Phil Collins: No Jacket Required, Double Dragon, ",3.7
Brian Yuzna,"Bride of Re-Animator, Beyond Re-Animator, Faust, The Dentist, ",5.9
Darryl F. Zanuck,"The Longest Day, The Grapes of Wrath, All About Eve, A Yank in the R.A.F., ",7.8
Howard Zieff,"The Dream Team, The Main Event, My Girl, My Girl 2, ",6.7
Joseph Zito,"Missing in Action, Friday the 13th: The Final Chapter, Bloodrage, The Prowler, ",5.914285714
Lee David Zlotoff,"The Spitfire Grill, MacGyver, Remington Steele, ",7
Dick Zondag,"An American Tail, Dinosaur, Meet the Robinsons, Warcraft, ",6.1
